Interface,Remote_Interface
site-a-r1-edge[GigabitEthernet0/1],site-a-r2-edge[GigabitEthernet0/1]
site-a-r2-edge[GigabitEthernet0/1],site-a-r1-edge[GigabitEthernet0/1]
site-a-r1-edge[GigabitEthernet0/2],site-a-r3-access[GigabitEthernet0/0]
site-a-r3-access[GigabitEthernet0/0],site-a-r1-edge[GigabitEthernet0/2]
site-a-r1-edge[GigabitEthernet0/3],site-a-r4-access[GigabitEthernet0/2]
site-a-r4-access[GigabitEthernet0/2],site-a-r1-edge[GigabitEthernet0/3]
site-a-r2-edge[GigabitEthernet0/2],site-a-r4-access[GigabitEthernet0/0]
site-a-r4-access[GigabitEthernet0/0],site-a-r2-edge[GigabitEthernet0/2]
site-a-r2-edge[GigabitEthernet0/3],site-a-r3-access[GigabitEthernet0/2]
site-a-r3-access[GigabitEthernet0/2],site-a-r2-edge[GigabitEthernet0/3]
site-a-r3-access[GigabitEthernet0/1],site-a-r4-access[GigabitEthernet0/1]
site-a-r4-access[GigabitEthernet0/1],site-a-r3-access[GigabitEthernet0/1]
site-b-r1-edge[GigabitEthernet0/1],site-b-r2-edge[GigabitEthernet0/1]
site-b-r2-edge[GigabitEthernet0/1],site-b-r1-edge[GigabitEthernet0/1]
site-b-r1-edge[GigabitEthernet0/2],site-b-r3-access[GigabitEthernet0/0]
site-b-r3-access[GigabitEthernet0/0],site-b-r1-edge[GigabitEthernet0/2]
site-b-r1-edge[GigabitEthernet0/3],site-b-r4-access[GigabitEthernet0/2]
site-b-r4-access[GigabitEthernet0/2],site-b-r1-edge[GigabitEthernet0/3]
site-b-r2-edge[GigabitEthernet0/2],site-b-r4-access[GigabitEthernet0/0]
site-b-r4-access[GigabitEthernet0/0],site-b-r2-edge[GigabitEthernet0/2]
site-b-r2-edge[GigabitEthernet0/3],site-b-r3-access[GigabitEthernet0/2]
site-b-r3-access[GigabitEthernet0/2],site-b-r2-edge[GigabitEthernet0/3]
site-b-r3-access[GigabitEthernet0/1],site-b-r4-access[GigabitEthernet0/1]
site-b-r4-access[GigabitEthernet0/1],site-b-r3-access[GigabitEthernet0/1]
